Wavelength,x,y,z
436,0.16042,0.02661,0.81298
436,0.16035,0.02667,0.81298
436,0.16029,0.02672,0.81299
436,0.16023,0.02678,0.81300
436,0.16016,0.02683,0.81300
436,0.16010,0.02689,0.81301
436,0.16004,0.02695,0.81302
436,0.15998,0.02700,0.81302
436,0.15992,0.02706,0.81303
436,0.15985,0.02711,0.81303
436,0.15979,0.02717,0.81304
437,0.15973,0.02722,0.81304
437,0.15967,0.02728,0.81305
437,0.15961,0.02733,0.81305
437,0.15955,0.02739,0.81306
437,0.15949,0.02744,0.81306
437,0.15943,0.02750,0.81307
437,0.15937,0.02755,0.81307
437,0.15931,0.02761,0.81308
437,0.15925,0.02767,0.81308
438,0.15920,0.02772,0.81308
438,0.15914,0.02778,0.81309
438,0.15908,0.02783,0.81309
438,0.15902,0.02789,0.81309
438,0.15896,0.02795,0.81309
438,0.15890,0.02800,0.81309
438,0.15884,0.02806,0.81310
438,0.15878,0.02812,0.81310
438,0.15872,0.02818,0.81310
438,0.15867,0.02824,0.81310
438,0.15861,0.02830,0.81310
439,0.15855,0.02836,0.81310
439,0.15849,0.02842,0.81310
439,0.15843,0.02848,0.81310
439,0.15837,0.02854,0.81310
439,0.15831,0.02860,0.81309
439,0.15825,0.02866,0.81309
439,0.15819,0.02872,0.81309
439,0.15813,0.02879,0.81309
439,0.15806,0.02885,0.81309
440,0.15800,0.02891,0.81308
440,0.15794,0.02898,0.81308
440,0.15788,0.02905,0.81307
440,0.15782,0.02911,0.81307
440,0.15775,0.02918,0.81307
440,0.15769,0.02925,0.81306
440,0.15762,0.02932,0.81306
440,0.15756,0.02939,0.81305
440,0.15749,0.02946,0.81304
440,0.15743,0.02953,0.81304
440,0.15736,0.02961,0.81303
441,0.15730,0.02968,0.81302
441,0.15723,0.02975,0.81302
441,0.15716,0.02983,0.81301
441,0.15709,0.02991,0.81300
441,0.15703,0.02998,0.81299
441,0.15696,0.03006,0.81298
441,0.15689,0.03014,0.81297
441,0.15682,0.03022,0.81296
441,0.15675,0.03030,0.81295
442,0.15668,0.03038,0.81294
442,0.15661,0.03046,0.81293
442,0.15653,0.03054,0.81292
442,0.15646,0.03063,0.81291
442,0.15639,0.03071,0.81290
442,0.15632,0.03080,0.81289
442,0.15624,0.03088,0.81287
442,0.15617,0.03097,0.81286
442,0.15610,0.03105,0.81285
442,0.15602,0.03114,0.81284
442,0.15595,0.03123,0.81282
443,0.15587,0.03132,0.81281
443,0.15580,0.03141,0.81280
443,0.15572,0.03150,0.81278
443,0.15565,0.03159,0.81277
443,0.15557,0.03168,0.81275
443,0.15549,0.03177,0.81274
443,0.15542,0.03186,0.81272
443,0.15534,0.03195,0.81271
443,0.15526,0.03205,0.81269
444,0.15519,0.03214,0.81267
444,0.15511,0.03224,0.81266
444,0.15503,0.03233,0.81264
444,0.15495,0.03243,0.81262
444,0.15487,0.03252,0.81261
444,0.15479,0.03262,0.81259
444,0.15472,0.03271,0.81257
444,0.15464,0.03281,0.81255
444,0.15456,0.03291,0.81253
444,0.15448,0.03301,0.81252
444,0.15440,0.03310,0.81250
445,0.15432,0.03320,0.81248
445,0.15424,0.03330,0.81246
445,0.15416,0.03340,0.81244
445,0.15408,0.03350,0.81242
445,0.15400,0.03360,0.81240
445,0.15392,0.03370,0.81238
445,0.15384,0.03380,0.81236
445,0.15376,0.03390,0.81234
445,0.15368,0.03401,0.81232
446,0.15360,0.03411,0.81229
446,0.15352,0.03421,0.81227
446,0.15344,0.03431,0.81225
446,0.15336,0.03442,0.81223
446,0.15328,0.03452,0.81220
446,0.15320,0.03462,0.81218
446,0.15311,0.03473,0.81216
446,0.15303,0.03483,0.81213
446,0.15295,0.03494,0.81211
446,0.15287,0.03505,0.81208
446,0.15279,0.03515,0.81206
447,0.15271,0.03526,0.81203
447,0.15263,0.03537,0.81200
447,0.15254,0.03548,0.81198
447,0.15246,0.03559,0.81195
447,0.15238,0.03570,0.81192
447,0.15230,0.03581,0.81189
447,0.15221,0.03593,0.81186
447,0.15213,0.03604,0.81183
447,0.15205,0.03615,0.81180
448,0.15197,0.03627,0.81176
448,0.15188,0.03639,0.81173
448,0.15180,0.03650,0.81170
448,0.15171,0.03662,0.81166
448,0.15163,0.03674,0.81163
448,0.15154,0.03686,0.81159
448,0.15146,0.03699,0.81155
448,0.15137,0.03711,0.81152
448,0.15129,0.03723,0.81148
448,0.15120,0.03736,0.81144
448,0.15112,0.03749,0.81140
449,0.15103,0.03762,0.81135
449,0.15094,0.03775,0.81131
449,0.15086,0.03788,0.81127
449,0.15077,0.03801,0.81122
449,0.15068,0.03814,0.81118
449,0.15059,0.03828,0.81113
449,0.15050,0.03842,0.81108
449,0.15041,0.03856,0.81103
449,0.15032,0.03870,0.81098
450,0.15023,0.03884,0.81093
450,0.15014,0.03898,0.81088
450,0.15005,0.03913,0.81082
450,0.14996,0.03928,0.81077
450,0.14987,0.03943,0.81071
450,0.14977,0.03958,0.81065
450,0.14968,0.03973,0.81059
450,0.14959,0.03988,0.81053
450,0.14949,0.04004,0.81047
450,0.14940,0.04020,0.81040
450,0.14930,0.04036,0.81034
451,0.14921,0.04052,0.81027
451,0.14911,0.04069,0.81020
451,0.14901,0.04086,0.81013
451,0.14891,0.04102,0.81006
